Specify Item No,Specify Name of Goods,Specify Detailed Technical Specification and Standards required,Specify Inspection and/or tests required and test place
1,Employee Personnel Information Management System,"1.2.1.28 Physical/Permanent Address: Vill / House No.: Road: , P.O: P.O. Code:  , P.S: , Dist: (separate field and P.O. Code,  P.S. & District as per Master of P.S. & District i.e. from dynamic drop down box in English and Bengali)","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.1.29 Postal/ Present Address: Vill / House No.: Road:  , P.O:     P.O. Code:  , P.S: , Dist: (separate field and P.O. Code,  P.S. & District as per Master of P.S. & District i.e. from dynamic drop down box in English and Bengali)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.30 Employee's Favourite Color:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.31 Employee’s Hobby,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.32 Permanent Residence Status (Yes/ No) - other than Bangladesh,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.1.33 Details of PR Status (Country, PR Number etc.)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.34 Dual Citizenship Status (Yes/ No),"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.1.35 If Dual Citizen, provide details (Country of citizenship, Passport Number etc.)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.36 Overseas/Official Tours/Country Visited: Multi Check Box,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.37 Food Liking: (Vegetarian/Non-Vegetarian): Multi Check Box,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.38 Professional Body Membership Information,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.39 Present Posting (history document will be saved),"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.1.40 Emergency Contact ( Name, Address, Contact No, Relation)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.41 Joining Designation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.42 Joining Date,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.43 Confirmation Date,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.44 PRL Date,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.45 Last Promotion Date ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.46 Confirmation Date (in present position),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2  Educational Information:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2.1 Degree/Certificate Names  (Multiple data uploading option required),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2.2 Institution Name,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2.3 Major/Subjects,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2.4 Passing Year (Drop Down Menu),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.2.5 Result,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3 Parents Particulars:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.1 Father's Name (English and Bengali),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.2 Father's Nationality,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.3 Father's National ID No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.4 Father's Passport No (issue date and expiry date):,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.5 Father’s Occupation:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.6 Fathers' Mobile No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.7 Father's Email Address:,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.3.8 Address: Vill / House No.: Road: , P.O: P.O. Code:  , P.S: , Dist: (separate field and P.O. Code,  P.S. & District as per Master of P.S. & District i.e. from dynamic drop down box)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.9 Mother’s name (English and Bengali),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.10 Mother's Nationality,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.11 Mother's National ID No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.12 Mother's Passport No (issue date and expiry date):,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.13 Mother’s Occupation:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.14 Mother's Mobile No:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.3.15 Mother's Email Address:,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.3.16 Address: Vill / House No.: Road: , P.O: P.O. Code:  , P.S: , Dist: (separate field and P.O. Code,  P.S. & District as per Master of P.S. & District i.e. from dynamic drop down box)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4 Spouse Information,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.4.1 Marital Status: Married/Unmarried/Divorce/Widow  (Multiple data uploading option required, for number of marriages/ spouses)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.2 Color Photo Image: (Passport Size) ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.3 Date of birth,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.4 Date of marriage,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.5 Name of Spouse,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.6 Father's Name (English and Bengali),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.7 Mother’s name (English and Bengali),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.8 Nationality of Spouse,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.9 NID No. of Spouse,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.4.10 Spouse’s Permanent Address: (Area, P.S. & District as per Master of P.S. & District i.e. from drop down box same as above)","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.4.11 Spouse’s Present Address: (Area, P.S. & District as per Master of P.S. & District i.e. from drop down box same as above)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.12 Occupation of Spouse:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.13 Spouse’s Office Address: (P.S. & District as per Master of P.S. & District i.e. from drop down box same as above),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.14 Mobile No.:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.4.15 Email address:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5 Child Information,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.5.1 Details of Kids: Child No. 1, Children No. 2, Children No. 3, Children No. 4 (Boy /Girl form drop down box as per master)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5.2 Children Name (Chronologically),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5.3 Children’s  Date of Birth,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5.4 Children’s Birth Certificate/NID No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5.5 Citizenship of children,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.5.6 Age (Calculated from Date of Birth),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6 Child Educational Information ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.1 Present  Educational Qualification of Children  ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.2 Institution Name,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.3 Degree/Certificate Names (Drop Down Menu),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.4 Major/Subjects,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.5 Passing Year (Drop Down Menu),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.6.6 Result,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.2.6.7 Previous Education history of Children (including degree, institution name, Result)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7 Details of Legal Nominee,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.1 Multiple data uploading option required  based on  Nominee Type(with necessary information)  to add multiple nominee information,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.2 Name:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.3 Photo,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.4 Relation:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.5 Citizenship,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.6 NID No./Photo ID:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.7 Nominee Assign for various purposes,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.8 Limit assign  to each nominee for service Benefit(s) ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.7.9 Application for Nominee Change (Configurable form) ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3 Employment History : User will have option to add multiple previous job,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.1 Employer Name (From drop down box as per Master of Employer i.e. Organization and address),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.2 Joining date: Date Picker,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.3 Joining Designation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.4 Last Working date: Date Picker,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.5 Last Designation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.6 Job Title,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.7 Last Drawn Salary ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.8 Length of service in the organization,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.9 Indication the line of responsibility while serving in previous organization,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.10 Details of significant achievements in your career:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.3.11 Area of proficiency,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.4 Language - Ability: Speak, Read, Write (Multiple Check Box)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.5 IELTS: Score,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.6 Extra-curricular Activities:  (State in brief present hobbies, sports or other activities)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.7 Computer Literacy,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.7.1 Name of Institution ( Multiple Data Entry),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.7.2 Title of Course,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.7.3 Duration of Course,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.7.4 Result,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.8 Professional/Other Degree: Based on  Professional Degree and other degree obtained after/before joining BDBL (Multiple data uploading option required),"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.9 Banking Diploma (and options to add any other professional degree as and when required) :Banking Diploma Part 1 & 2 (Passing Year, Result), Application for payment of honorarium, recommendation, approval and voucher creation through software) with approval process workflow from application by employee. An option to add point(As per Promotion Policy) for Banking Diploma by HR admin User for Employee Valuation.","BDBL, Head Office"
1,Employee Personnel Information Management System,1.1 HR Part/Portion:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.1 Employee ID.:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.2 Joining Designation (Based on Designation Master),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.3 Joining Date: Based on Medical certificate ,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.10.4 Height: (Ft./Inch.), Weight: (Kg.)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.5 Present Designation:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.6 Grade / Scale: (if any),"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.10.7 Status: Executive (AGM and Above), Officer (Officer to SPO), Staff (Below Officer) (Required for reporting to Bangladesh Bank i.e. total Executives, total Officers and total Staffs)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.8 Compliance of Police verification ,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.10.9 Employee's Delegation/Authority (Recommendation, Approval etc.)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.10 Multiple Additional Role Add Option : (CRO/CCO/AMLCO/BAMLCO etc.) drop down menu with Effective Date & Last Date add option for each role,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.11 Job Description (As per format) according to office order and date,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.12 Special Assigned job (add option for each job with office order & date) ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.13 Joined at: (HO/Branch/Zone/others),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.14 Type of Employment: (Permanent/Contractual /Third-party) drop down menu,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.10.15 Contractual: HR Contract/ Third Party, Renewal (With increment or without increment)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.16 Formulation of Appointment Letter,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.17 Formulation of Contract of Employment,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.18 Formulation of Bond against (investment and training during employment of special  officer/Officer etc.),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.19 Bond for Training Investment,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.20 Issued Date of Appointment Letter,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.21 Reference Letter No,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.22 Bond for employment: (for the period (date form - date to)),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.23 Probation period (Date Picker from Date to Date),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.24 Due Date of Confirmation: Date Picker,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.25 Place of posting/Work Station: Drop Down Menu (HO/Branch/Zone/others),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.26 Report to: (Employee ID No.) Search Option to Select from Existing List (HO/Branch/Zone/others),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.27 Cost Center / Profit Center Assigning: Drop Down menu,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.28 Time Table and Holiday Master,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.29 Shifting Duty: Shift Master,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.30 Official Mobile No. & Phone No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.31 Mobile Ceiling:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.32 Monthly Expenditure/Usage of Mobile,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.33 PABX Extension No. (Phone),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.34 Official E-mail: Auto Pick from Data Base ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.10.35 Custom Field,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.11 Issuance of NOC, Country visited after joining at BDBL: ","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.11.1 Issuance of NOC as per prescribed format (word format), Purposes: For Admission, Country Leave, Tour, Medical, Performing Holy Hajj etc. with reference Number. The module will have option for apply, recommendation, approval and certificate issuance (Auto) in various predefined format.","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.11.2 Name of Country, Duration etc. obtained from NOC for leaving country","BDBL, Head Office"
1,Employee Personnel Information Management System,1.11.3 A searchable portal link to verify NOC by Passport Authority,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.12 Issuance of Experience Certificate : Issuance of Condolence Letter as per prescribed format (word format) with reference Number. The module will have option for apply(by maker), recommendation (by checker), approval (by approver) and certificate issuance (Auto) in various predefined format.","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.13 Issuance of Condolence Letter : Automated (Father, Mother, Husband, Wife, Child) with reference Number. HR will have option to generate and circulate through email.","BDBL, Head Office"
1,Employee Personnel Information Management System,1.14 Issuance of Retirement Letter : Automated with reference Number Auto Generated by system as a reminder.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.15 Submission of Resignation : Resignation submission through system with resignation letter upload.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.16 Issuance of Acceptance of Resignation for processing: Automated notification with reference Number upon acceptance of resignation for processing by HR.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.17 Issuance of Release Letter : Issuance of Release Letter (Transfer/Separation etc.) as per prescribed format with reference Number during payment of final settlement.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.18 Regular to Contractual of existing employees,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.18.1 Forwarded information from existing employee ID to New employee ID in HR & Payroll system (to avoid redundant data entry),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.18.2 There shall be an option to select which type of data to be forwarded,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.19 Salary Setup By HR:,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.19.1 Salary/wages Heads: (Basic, Medical, House Rent, Conveyance, Utility, House Maintenance, Telephone, LFA etc.) as per National PayScale. Historical Change should be maintain.","BDBL, Head Office"
1,Employee Personnel Information Management System,1.19.2 Effective (date) From: Date Picker,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.19.3 Number of Changes: (Initial) System Automatically Maintain with Number of Increment,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.19.4 Bank Details for each employee: Branch Code and Name (from dropdown Box as per Master of BDBL Branches, Account Number etc.) initially there should be batch data upload option.","BDBL, Head Office"
1,Employee Personnel Information Management System,1.19.5 Eligible for P.F. From Effective Date: (Date Picker),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.19.6 Eligible for Festival Bonus for 1st Time (as per policy): For the period:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2 Reward & Recognition Management: Reward Details Multiple Reward addition option with point as per promotiom policy.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.21 Employee Document Attachment,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.21.1 All educational certificates, marksheet, Experience & Professional certificates","BDBL, Head Office"
1,Employee Personnel Information Management System,1.21.2 Nationality Certificate,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.21.3 Birth Certificate,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.21.4 National Id,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.21.5 Medical Certificate,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.21.6 Appointment Letter, Joining Letter","BDBL, Head Office"
1,Employee Personnel Information Management System,1.22 Disciplinary actions,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.22.1 Incidence: (Text Input with option to add),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.22.2 Date of incidence:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.22.3 Complain Letter no. & date ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.22.4 Explanation Letter,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23 Suspension,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.1 Suspension  (According to BDBL Policy),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.2 Charge Sheet,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.3 Hearing Report,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.23.4 Type of Punishment: (Warning/Note of Caution, Withheld of Increment/Stoppage of Promotion/Demotion/Dismissal from drop down box as per master of type of misconduct)","BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.5 Effective from: (Date),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.6 Report to Bangladesh Bank Date: Date Picker,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.23.7 Report to Bangladesh Bank: File Upload,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.24 Allegation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.24.1 Details of Allegation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.24.2 Ask for clarification of allegation,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.24.3 Management Decision against the reply of the alleged employees,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.25 Black List,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.25.1 As per Employees Master of Black List based on report of Bangladesh Bank and Decisions of BDBL Management,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.26 ID Card : Option to Generate printable  ID Card,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.27 Medical Care :Date of Birth, Date of Marriage, Retirement, Due date of confirmation, Employees under suspension, etc.","BDBL, Head Office"
1,Employee Personnel Information Management System,"1.28 Office Item use by Employee: PC. Laptop, Phone, Mobile Set, Motor cycle, Car  with tag/ID number etc. ","BDBL, Head Office"
2,HRD Master,2.1 Master of Branch (Concerned dept. will make entry on creation of Branch/Sub-branch and system will generate notification for information of all),"BDBL, Head Office"
2,HRD Master,2.2 Master of Booth (Concerned dept. will make entry on creation of Branch and system will generate notification for information of all),"BDBL, Head Office"
2,HRD Master,2.3 Master of Employees Delegation/Authority,"BDBL, Head Office"
2,HRD Master,2.4 Master of ATM (Concerned dept. will make entry on creation of Branch and system will generate notification for information of all),"BDBL, Head Office"
2,HRD Master,2.5 Master of Cost Center or Profit Center,"BDBL, Head Office"
2,HRD Master,2.6 Master of Institution (Academic),"BDBL, Head Office"
2,HRD Master,2.7 Master of Academic Degree,"BDBL, Head Office"
2,HRD Master,2.8 Master of Academic Result,"BDBL, Head Office"
2,HRD Master,"2.9 Holiday Master (Ad Branch, National Election, National holidays etc.)","BDBL, Head Office"
2,HRD Master,2.1 Master of Office Time Table,"BDBL, Head Office"
2,HRD Master,2.11 Master of Training Institute,"BDBL, Head Office"
2,HRD Master,2.12 Item Master (Stationary and Fixed Assets and other Assets) integration with Asset Management and Procurement Management,"BDBL, Head Office"
2,HRD Master,"2.13 Master of Banks' Association Membership (BIBM, BAB, BC etc.)","BDBL, Head Office"
2,HRD Master,2.14 Master of Banks & Financial Institutions of Bangladesh (Generation Wise),"BDBL, Head Office"
2,HRD Master,"2.15 Master of Board Member (Board Member's information, Male/Female)","BDBL, Head Office"
2,HRD Master,2.16 Master of different Committees,"BDBL, Head Office"
2,HRD Master,2.17 Master of HR Policies and Archives,"BDBL, Head Office"
2,HRD Master,2.18 Master of Pay Scale per Designation,"BDBL, Head Office"
2,HRD Master,"2.19 Master of Outsources Company (Third Party), Terms and Conditions and archive of Contract integration with Asset Management and Procurement Management","BDBL, Head Office"
2,HRD Master,"2.2 Master of Natural Digester (Cyclone, Flood etc.)","BDBL, Head Office"
2,HRD Master,2.21 Option to create any other master required by the Bank time to time,"BDBL, Head Office"
2,HRD Master,2.22 Resource Planning,"BDBL, Head Office"
2,HRD Master,2.22.1 Employee Excess and Shortage Report (Office Wise),"BDBL, Head Office"
2,HRD Master,2.22.2 Employee Requisition Report (Office Wise),"BDBL, Head Office"
2,HRD Master,"2.22.3 Employee  Report (Qualification, Training, Experience wise)","BDBL, Head Office"
3,Training Management,3.1 Access for Training Institute,"BDBL, Head Office"
3,Training Management,3.2 Training Calendar,"BDBL, Head Office"
3,Training Management,3.3 In House List of Trainer (Details & Contact No.),"BDBL, Head Office"
3,Training Management,3.4 External List of Trainer (Details & Contact No.),"BDBL, Head Office"
3,Training Management,3.5 Office Order for Training: All Employee,"BDBL, Head Office"
3,Training Management,3.6 Honorarium for Training: All Employee,"BDBL, Head Office"
3,Training Management,"3.7 Training Expenditure (division/department/employee wise, Local + Foreign) : All Employee","BDBL, Head Office"
3,Training Management,3.8 Training Expenditure Finance - Self Finance / bank Finance: All Employee,"BDBL, Head Office"
3,Training Management,3.9 Training Materials: Up load option (External by HR and Internal by Training Manager) the material will be archived and available for all employee,"BDBL, Head Office"
3,Training Management,3.1 Training Result (External by HR and Internal by Training Manager) : All Employee,"BDBL, Head Office"
3,Training Management,3.11 Training Certificate (External by HR and Internal by Training Manager): All Employee,"BDBL, Head Office"
3,Training Management,3.12 Training Need Assessments (From Appraisal or Additional Recommendation for Training) : All Employee,"BDBL, Head Office"
3,Training Management,3.13 Training Feedback (Employees): By Employee: All Employee,"BDBL, Head Office"
3,Training Management,3.14 Training Feedback (Supervisor):  By Employee Supervisor after each Training event input: All Employee,"BDBL, Head Office"
3,Training Management,3.15 Training indemnity (if any) Maintained by HR: All Employee,"BDBL, Head Office"
3,Training Management,3.16 Skills Inventory - Skill Requirement for Division / Department / Branch for a particular position or designation,"BDBL, Head Office"
3,Training Management,3.17 Training Session Schedule Maker,"BDBL, Head Office"
